||||||||
SEMESTRE 1|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|TP|Effectif
étudiants par groupe
UE 11 obligatoire|Système d’exploitation embarqué|4|4|16|20|40||
UE 12 obligatoire|Développement d’applications nomades|4|4|16|20|40||
UE 13 obligatoire|Programmation logique et par contraintes|4|4|16|20|40||
UE 14 obligatoire|Modélisation et vérification de systèmes concurrents|4|4|16|20|40||
UE 15 obligatoire|Interface homme machine|4|4|18|24|40|6|24
UE 16 obligatoire|Programmation parallèle|4|4|16|20|40||
UE 17 obligatoire|Modélisation, graphes et algorithmes|4|4|16|20|40||
UE 18 obligatoire|Anglais|2|2||24|40||
TOTAL S1||30|30|114|168||6|
||||||||
SEMESTRE 2|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|TP|Effectif
étudiants par groupe
UE 21 obligatoire|Intelligence artificielle|4|4|16|20|40||
UE 22 obligatoire|Réseaux : protocoles et mobilité|4|4|18|12|40|12|24
UE 23 obligatoire|Algorithmique répartie|4|4|16|20|40||
UE 24 obligatoire|Calculabilité et complexité|4|4|16|20|40||
UE 25 obligatoire|Travaux d’études et de recherche
et Technique de communication|4|4|12|24|||20
UE 26 obligatoire|Anglais|2|2||24|||
UE 27 |Outils pour l’exploration de données|4|4|16|20|40||
UE 28 |Compilation|4|4|16|20|40||
UE 29|Programmation graphique|4|4|16|20|40||
TOTAL S2||34|34|126|180||12|
||||||||
SEMESTRE 3|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|TP|Effectif
étudiants par groupe
UE 31|Sécurité des applications nomades|4|4|20|15|40||
UE 32|Système d'informations géographiques nomades|4|4|20|15|40||
UE 33|Architecture applicatives réparties|4|4|20|20|40|10|24
UE 34A|Pratique des contraintes|4|4|20|15|40||
UE35A|Webmining et réseaux sociaux|4|4|20|15|||
UE 36A|Extraction de connaissances dans les BD|4|4|20|20|40|10|24
UE 34B|Sécurité et protocoles |4|4|20|20|40||
UE 35B|Sécurité des systèmes d'explotation|4|4|20|15|||
UE 36B|Qualité et certification|4|4|20|15|||
UE 37|Projet 1|3|3|||||
